unit_id	code	file	in_blocks	out_blocks	in_chars	out_chars	retain_pct	status
P2.EX.113	C	bffd2c37-cf30-4594-af3b-cec93097edac.jsonl	63	63	33065	33065	100.0	done
P2.EX.114	C	c0720b88-c5ef-46b1-9d7d-0ba5a429a4b0.jsonl	911	864	299277	292725	97.8	done
P2.EX.115	C	c20ea713-06ed-489f-8879-3ce15c850068.jsonl	860	805	278133	266700	95.9	done
P2.EX.116	C	c339c452-38d3-4192-b6fa-c250406adafe.jsonl	563	518	322004	316539	98.3	done
P2.EX.117	C	c3bd9dda-62a3-4e39-a8c9-8a6b225f6c48.jsonl	1538	1464	463530	455000	98.2	done
P2.EX.118	C	c5afd106-f3ae-400a-a60c-d1b64bc36f4d.jsonl	52	51	25829	25825	100.0	done
P2.EX.119	C	c6358920-9c60-4140-bc61-37db47392904.jsonl	1951	1752	889812	848082	95.3	done
P2.EX.120	C	c67b9e16-ea52-43ed-940b-bfbbcc3bc8a3.jsonl	637	605	224070	217923	97.3	done
P2.EX.121	C	c97f9916-0335-4977-9fe9-ce8a7641d927.jsonl	9	7	1444	954	66.1	done
P2.EX.122	C	c99db8f9-3e33-461a-8972-7e80968694bf.jsonl	892	874	314141	310941	99.0	done
P2.EX.123	C	c9b853be-f86a-4349-9e42-6d40a4f2d0cf.jsonl	166	163	56405	56159	99.6	done
P2.EX.124	C	cd013707-5129-4192-91fe-a7562c2c60bd.jsonl	106	105	68295	68050	99.6	done
P2.EX.125	C	cdd5685d-c7bf-4f32-b2ac-d71f837ba156.jsonl	3	3	425	425	100.0	done
P2.EX.126	C	d27f3264-bde5-4b5d-b23e-1d52f01b67df.jsonl	3	3	426	426	100.0	done
P2.EX.127	C	d3d7e7f3-8d2a-4168-b42e-6432d473e0fe.jsonl	371	355	183332	181543	99.0	done
P2.EX.128	C	d45f4eff-d909-4ad0-9a3e-84adc2cd4974.jsonl	1812	1645	590119	567005	96.1	done
P2.EX.129	C	d5f5e0eb-54d7-4a72-ada5-ed9dcbeb77b9.jsonl	689	634	276021	262856	95.2	done
P2.EX.130	C	d85f4ddf-0bfd-4e0a-adcd-a62bcbc7c445.jsonl	553	529	188916	182983	96.9	done
P2.EX.131	C	d94db003-7f40-4b7f-b488-38afaf38eeb9.jsonl	340	300	112635	107173	95.2	done
P2.EX.132	C	da78509b-70a6-4779-8d40-9d0eb7fa31d7.jsonl	381	367	207842	206287	99.3	done
P2.EX.133	C	da984c34-e47c-47f6-9165-552e70c0bdb0.jsonl	1	1	124	124	100.0	done
